Market,Selection,Bid type,Bet ID,Bet placed,,Persistence,Odds req.,Stake ($),Liability ($),Avg. odds matched,Profit/Loss ($)
Tennis / Jo Fonseca v Le Tien / Match Odds,Joao Fonseca,Back,372306564811,22-Dec-24 07:48,,K,1.36,2.50,,1.36,0.90
Tennis / Jo Fonseca v Le Tien / Match Odds,Joao Fonseca,Lay,372306568573,22-Dec-24 07:48,,K,1.26,2.50,0.65,1.26,(0.65)
Tennis / Jo Fonseca v Le Tien / Match Odds,Joao Fonseca,Back,372306656323,22-Dec-24 07:49,,K,1.36,2.32,,1.36,0.84
Tennis / Jo Fonseca v Le Tien / Match Odds,Joao Fonseca,Lay,372306664998,22-Dec-24 07:49,,K,1.26,2.50,0.65,1.26,(0.65)
Tennis / Jo Fonseca v Luca van Assche / Match Odds,Luca Van Assche,Back,372180926325,21-Dec-24 09:08,,K,2.84,2.50,,2.84,(2.50)
Tennis / Jo Fonseca v Luca van Assche / Match Odds,Joao Fonseca,Back,372181077862,21-Dec-24 09:09,,K,1.53,2.17,,1.53,1.15
Tennis / Jo Fonseca v Luca van Assche / Match Odds,Luca Van Assche,Lay,372213265448,21-Dec-24 11:16,,K,2.74,2.50,4.35,2.74,2.50
Tennis / Jo Fonseca v Luca van Assche / Match Odds,Joao Fonseca,Lay,372218350606,21-Dec-24 11:46,,K,1.43,2.50,1.08,1.43,(1.08)
Tennis / Al Michelsen v Le Tien / Match Odds,Alex Michelsen,Back,372154052990,21-Dec-24 07:04,,K,1.37,2.50,,1.38,(2.50)
Tennis / Al Michelsen v Le Tien / Match Odds,Alex Michelsen,Lay,372154057108,21-Dec-24 07:04,,K,1.27,2.50,0.68,1.27,2.50
Tennis / Al Michelsen v Le Tien / Match Odds,Alex Michelsen,Back,372154177481,21-Dec-24 07:05,,K,1.37,2.32,,1.38,(2.32)
Tennis / Al Michelsen v Le Tien / Match Odds,Alex Michelsen,Lay,372154183338,21-Dec-24 07:05,,K,1.27,2.50,0.68,1.27,2.50
Tennis / Al Michelsen v Le Tien / Match Odds,Alex Michelsen,Back,372177388223,21-Dec-24 08:57,,K,1.33,5.00,,1.34,(5.00)
Tennis / Mensik v Jo Fonseca / Match Odds,Jakub Mensik,Back,372043767504,20-Dec-24 08:21,,K,1.92,2.50,,1.93,(2.50)
Tennis / Mensik v Jo Fonseca / Match Odds,Jakub Mensik,Back,372043811786,20-Dec-24 08:22,,K,1.92,2.24,,1.93,(2.24)
Tennis / Mensik v Jo Fonseca / Match Odds,Jakub Mensik,Back,372051936944,20-Dec-24 10:09,,K,1.95,5.00,,1.95,(5.00)
Tennis / Mensik v Jo Fonseca / Match Odds,Jakub Mensik,Lay,372060493748,20-Dec-24 12:02,,K,1.84,2.50,2.10,1.84,2.50
Tennis / Mensik v Jo Fonseca / Match Odds,Jakub Mensik,Lay,372060493749,20-Dec-24 12:02,,K,1.84,2.50,2.10,1.84,2.50
Tennis / Fils v Le Tien / Match Odds,Arthur Fils,Back,372036933940,20-Dec-24 07:09,,K,1.22,2.50,,1.22,(2.50)
Tennis / Fils v Le Tien / Match Odds,Arthur Fils,Back,372036981073,20-Dec-24 07:09,,K,1.22,2.30,,1.22,(2.30)
Tennis / Fils v Le Tien / Match Odds,Arthur Fils,Lay,372037061789,20-Dec-24 07:10,,K,1.15,2.50,0.38,1.15,2.50
Tennis / Fils v Le Tien / Match Odds,Arthur Fils,Lay,372037061790,20-Dec-24 07:10,,K,1.15,2.50,0.38,1.15,2.50
Tennis / Fils v Le Tien / Match Odds,Arthur Fils,Back,372049323160,20-Dec-24 09:27,,K,1.2,5.00,,1.2,(5.00)
Tennis / Al Michelsen v Ju Shang / Match Odds,Alex Michelsen,Back,372018335406,20-Dec-24 03:19,,K,1.35,2.50,,1.36,0.90
